playerId,nameFull,position,collegeId,college,ageAtDraft
19770187,Louis Breeden,DB,27707,North Carolina Central,23.534246575342465
19770188,Bob Lingenfelter,OT,68588,Nebraska,22.684931506849317
19770193,Blanchard Carter,OT,89154,Nevada-Las Vegas,21.931506849315067
19770195,Kevin Long,RB,29208,South Carolina,22.298630136986297
19770200,Dan Alexander,OG,70803,Louisiana State,21.893150684931502
19770203,Walter Packer,DB,39762,Mississippi State,21.5013698630137
19770211,Otis Rodgers,LB,50011,Iowa State,22.78904109589041
19770215,Waddell Smith,WR,66045,Kansas,21.70684931506849
19770216,Eric Williams,LB,90089,USC,21.893150684931502
19770219,Brad Benson,OT,16802,Penn State,21.45205479452055
19770221,Fred Williams,RB,85287,Arizona State,21.682191780821924
19770223,Terry Robiskie,RB,70803,Louisiana State,22.487671232876714
19770227,Matt Robinson,QB,30602,Georgia,21.863013698630137
19770234,Gene Washington,WR,30602,Georgia,23.923287671232877
19770237,Robert Turner,RB,74078,Oklahoma State,23.175342465753427
19770241,Charles Jackson,LB,98195,Washington,22.13150684931507
19770254,Sam Adkins,QB,67201,Wichita State,21.96712328767123
19770255,Mike Jones,WR,55455,Minnesota,21.13972602739726
19770258,Rafael Septien,K,70504,Louisiana Lafayette,23.405479452054795
19770263,Gary Anderson,OG,94305,Stanford,21.627397260273973
19770271,Dave LaCrosse,LB,27106,Wake Forest,21.378082191780823
19770275,Steve DeBerg,QB,95192,San Jose State,23.301369863013697
19770277,Ron Baker,OG,74078,Oklahoma State,22.468493150684928
19770282,Nate Jackson,RB,37209,Tennessee State,22.85753424657534
19770287,Dave Farmer,RB,90089,USC,22.96986301369863
19770290,Terry Randolph,DB,1109,American International (MA),21.810958904109587
19770291,John Alexander,DE,7102,Rutgers,21.487671232876714
19770293,Tony Daykin,LB,30332,Georgia Tech,21.98904109589041
19770294,Connie Zelencik,C,47906,Purdue,22.098630136986298
19770299,Carl Allen,DB,39406,Southern Miss,21.38082191780822
19770300,Don Harris,DB,7102,Rutgers,23.246575342465754
19770302,Carson Long,K,15260,Pittsburgh,22.39452054794521
19770314,Don Parrish,DT,15260,Pittsburgh,22.09041095890411
19770315,Oakley Dalton,DT,39217,Jackson State (MS),24.80821917808219
19770316,Ove Johansson,K,79699,Abilene Christian (TX),29.10958904109589
19770321,Terry Anderson,WR,32114,Bethune-Cookman (FL),22.326027397260276
19770325,Leo Tierney,C,30332,Georgia Tech,23.276712328767122
19770334,Rolf Benirschke,K,95616,UC-Davis,22.249315068493146
19780001,Earl Campbell,RB,78712,Texas,23.10958904109589
19780004,Chris Ward,OT,43210,Ohio State,22.39178082191781
19780006,James Lofton,WR,94305,Stanford,21.83835616438356
19780007,Ken MacAfee,TE,46556,Notre Dame,22.326027397260276
19780008,Ross Browner,DE,46556,Notre Dame,24.128767123287673
19780009,Keith Simpson,DB,38152,Memphis,22.16164383561644
19780010,Gordon King,OT,94305,Stanford,22.257534246575347
19780011,Luther Bradley,DB,46556,Notre Dame,23.002739726027396
19780012,Clay Matthews,LB,90089,USC,22.145205479452056
19780013,Mike Kenn,OT,48109,Michigan,22.24109589041096
19780014,John Jefferson,WR,85287,Arizona State,22.257534246575347
19780015,Steve Little,K,72701,Arkansas,22.213698630136985
19780016,Blair Bush,C,98195,Washington,21.446575342465753
19780017,Doug Williams,QB,71245,Grambling State (LA),22.745205479452054
19780019,Ken Greene,DB,99164,Washington State,21.997260273972607
19780022,Ron Johnson,DB,49201,Eastern Michigan,21.912328767123288
19780023,Ozzie Newsome,TE,35487,Alabama,22.145205479452056
19780024,Dan Bunz,LB,90840,Cal State-Long Beach,22.583561643835612
19780026,John Anderson,LB,48109,Michigan,22.227397260273968
19780027,Don Latimer,DT,33124,Miami (FL),23.18630136986301
19780028,Larry Bethea,DT,48824,Michigan State,21.794520547945204
19780030,Johnny Davis,RB,35487,Alabama,21.805479452054797
19780032,Dee Hardison,DE,27599,North Carolina,22.013698630136986
19780033,J.T. Taylor,OT,65211,Missouri,21.734246575342464
19780035,Ray Griffin,DB,43210,Ohio State,21.854794520547944
19780036,Keith Butler,LB,38152,Memphis,21.975342465753428
19780039,Johnny Evans,P,27607,NC State,22.21643835616439
19780040,Al Baker,DE,80523,Colorado State,21.40821917808219
19780041,Buddy Hardaway,OT,74078,Oklahoma State,23.4027397260274
19780042,John Barefield,LB,78363,Texas A&M-Kingsville,23.126027397260273
19780043,Steve Stewart,LB,55455,Minnesota,22.01643835616439
19780046,Stan Johnson,DT,37209,Tennessee State,22.887671232876716
19780047,Walt Downing,OG,48109,Michigan,21.904109589041095
19780051,Guy Benjamin,QB,94305,Stanford,22.863013698630137
