playId,teamId,playerId,sackPosition,sackType,sackYards,sackNull
10003624,920,20080626,DE,1,-5,0
10003670,325,20110165,OLB,1,-7,0
10003691,325,20030010,OLB,1,-9,0
10003698,1050,20090057,LB,1,-22,0
10003713,325,20110165,OLB,1,-2,0
10003714,325,20120236,DE,1,-9,0
10003827,325,20140048,DT,1,-11,0
10003828,325,20060126,OLB,1,-8,0
10003838,325,20030010,OLB,1,-8,0
10003861,325,20030010,OLB,1,-5,0
10003919,325,20140048,DT,1,-7,0
10003932,325,20140017,LB,1,-5,0
10003955,325,20110165,OLB,1,-9,0
10004027,325,20060126,OLB,1,-8,0
10004042,325,20060126,OLB,1,-7,0
10004138,325,20140048,DT,1,0,0
10004226,325,20030010,OLB,1,-7,0
10004327,4500,20130040,DT,1,-8,0
10004334,4500,20110426,LB,1,-7,0
10004370,325,20140017,LB,1,-7,0
10004409,325,20140828,OLB,1,-3,0
10004418,4500,20130088,LB,1,-4,0
10004488,325,20060126,OLB,1,-13,0
10004500,325,20140048,DT,1,-9,0
10004522,2100,20100016,LB/DE,1,-8,0
10004557,325,20030010,OLB,1,-8,0
10004572,325,20060126,OLB,1,-4,0
10004605,325,20140079,S,1,-4,0
10004610,5110,20060092,DE,1,-12,0
10004632,5110,20110016,LB,1,-6,0
10004645,325,20140048,DT,1,-5,0
10004659,325,20060126,OLB,1,-6,0
10004699,5110,20140047,LB,1,-9,0
10004821,610,20120105,LB,1,-6,0
10004826,1050,20090424,DL,1,-9,0
10004844,610,20060134,DT,1,-8,0
10004927,1540,20130005,DE,1,-1,0
10004999,610,20110847,DT,1,-3,0
10005007,1540,20100638,DE,1,-7,0
10005066,610,20120482,DE,1,-5,0
10005120,1800,20080152,DT,1,-8,0
10005219,1800,20090026,LB,1,-8,0
10005236,1800,20090026,LB,1,-2,0
10005261,610,20060001,DE,1,-10,0
10005282,610,20100031,DE,1,-2,0
10005313,610,20060001,DE,1,-3,0
10005326,2310,20120011,DT,1,-6,0
10005365,610,20110003,DT,1,-5,0
10005386,610,20100031,DE,1,-6,0
10005398,610,20110003,DT,1,-5,0
10005413,610,20110003,DT,1,-5,0
10005442,610,20060001,DE,1,-4,0
10005471,610,20060134,DT,1,-10,0
10005472,610,20100031,DE,1,-11,0
10005583,610,20130635,DT,1,-6,0
10005621,610,20110003,DT,1,-10,0
10005671,3000,20100100,DE,1,-3,0
10005676,610,20060001,DE,1,-2,0
10005706,3000,20100100,DE,1,-1,0
10005714,3000,20100100,DE,1,-6,0
10005725,610,20100031,DE,1,-7,0
10005726,610,20110003,DT,1,-9,0
10005738,3000,20130023,DT,1,-8,0
10005753,3000,20100046,DT,1,-7,0
10005755,3000,20060606,DT,1,-3,0
10005817,610,20100031,DE,1,-9,0
10005837,3200,20120021,DE,1,-2,0
10005846,3200,20060135,DE,1,-6,0
10005850,610,20060001,DE,1,-6,0
10005888,3200,20140655,LB,1,-10,0
10005895,3200,20060135,DE,1,-7,0
10005939,3200,20060135,DE,1,-6,0
10005958,610,20060134,DT,1,-21,0
10006009,3410,20130081,DE,1,-6,0
10006073,3410,20140823,DE,1,-2,0
10006092,3410,20140678,DE,1,-20,0
10006130,610,20060001,DE,1,-6,0
10006156,610,20060001,DE,1,-9,0
10006180,610,20130628,DB,1,-2,0
10006197,610,20060134,DT,1,-8,0
10006206,610,20100031,DE,1,-5,0
10006229,610,20130231,LB,1,-5,0
10006254,610,20100031,DE,1,-4,0
10006328,610,20060022,DE,1,-5,0
10006356,4400,20020011,OLB,1,-6,0
10006367,610,20110003,DT,1,-1,0
10006393,4400,20120049,DE,1,-10,0
10006429,610,20110847,DT,1,-13,0
10006488,4900,20090016,DE,1,-5,0
10006527,4900,20090016,DE,1,0,0
10006528,4900,20110222,CB,1,-7,0
10006546,610,20090182,DE,1,-11,0
10006591,4900,20120211,DL,1,-7,0
10006647,750,20040051,DT,1,-8,0
10006729,750,20130044,DT,1,-6,0
10006733,3800,20110103,LB,1,0,0
10006744,750,20070083,DE,1,-9,0
10006745,750,20070083,DE,1,-8,0
10006805,750,20110567,DE,1,-2,0
10006824,200,20140068,S,1,-6,0
10006846,200,20130435,LB,1,-1,0
10006900,750,20070083,DE,1,-6,0
10006950,750,20100175,DE,1,-5,0
10006987,750,20130738,DE,1,-3,0
10006994,610,20090182,DE,1,-16,0
10007006,610,20110847,DT,1,-4,0
10007031,610,20140221,LB,1,-6,0
10007122,750,20130738,DE,1,-4,0
10007134,810,20100213,DE,1,-16,0
10007220,810,20110053,DT,1,-8,0
10007235,750,20070083,DE,1,-6,0
10007264,750,20130044,DT,1,-6,0
