playerId,nameFull,position,teamId,gameId,fumbles,interceptions,sacks,#players-pos-league,#games-pos-league,#fumbles-pos-league,#int-pos-league,#sacks-pos-league
20080242.0,Rob Jackson,LB,5110.0,6.0,,,2.0,867.0,41106.0,32.0,874.0,4707.0
20110253.0,Chris Neild,DT,5110.0,8.0,,,,580.0,37418.0,2.0,88.0,3901.0
20120119.0,Keenan Robinson,LB,5110.0,56.0,,2.0,4.0,867.0,41106.0,32.0,874.0,4707.0
20070182.0,Adam Hayward,LB,5110.0,16.0,,,,867.0,41106.0,32.0,874.0,4707.0
20100242.0,Doug Worthington,DE,5110.0,10.0,,,2.0,608.0,37394.0,2.0,217.0,9197.0
20120401.0,Peyton Thompson,DB,5110.0,18.0,,,,1104.0,51097.0,283.0,3715.0,841.0
20130901.0,Akeem Davis,S,5110.0,10.0,,,,411.0,26572.0,92.0,1926.0,775.0
20100186.0,Clifton Geathers,DE,5110.0,20.0,,,6.0,608.0,37394.0,2.0,217.0,9197.0
20140944.0,Robert Thomas,DT,5110.0,65.0,,,5.0,580.0,37418.0,2.0,88.0,3901.0
20110041.0,Jarvis Jenkins,DE,5110.0,90.0,,,4.0,608.0,37394.0,2.0,217.0,9197.0
20130500.0,Jeremy Kimbrough,LB,5110.0,4.0,,,,867.0,41106.0,32.0,874.0,4707.0
20140959.0,Ross Madison,S,5110.0,4.0,,,,411.0,26572.0,92.0,1926.0,775.0
20140802.0,Bryan Shepherd,DB,5110.0,6.0,,,,1104.0,51097.0,283.0,3715.0,841.0
20130993.0,Jake McDonough,DE,5110.0,4.0,,,,608.0,37394.0,2.0,217.0,9197.0
20120503.0,Adrian Robinson,DE,5110.0,4.0,,,,608.0,37394.0,2.0,217.0,9197.0
20130051.0,David Amerson,DB,5110.0,78.0,,,,1104.0,51097.0,283.0,3715.0,841.0
20070024.0,Brandon Meriweather,DB,5110.0,26.0,,,6.0,1104.0,51097.0,283.0,3715.0,841.0
20090013.0,Brian Orakpo,LB,5110.0,227.0,,,45.0,867.0,41106.0,32.0,874.0,4707.0
20110016.0,Ryan Kerrigan,LB,5110.0,127.0,,1.0,100.0,867.0,41106.0,32.0,874.0,4707.0
20100103.0,Perry Riley,LB,5110.0,34.0,,,4.0,867.0,41106.0,32.0,874.0,4707.0
20040008.0,DeAngelo Hall,DB,5110.0,28.0,1.0,,,1104.0,51097.0,283.0,3715.0,841.0
20060124.0,Barry Cofield,DT,5110.0,22.0,,,2.0,580.0,37418.0,2.0,88.0,3901.0
20090408.0,Chris Baker,DL,5110.0,96.0,,,6.0,97.0,3445.0,5.0,4.0,279.0
20140964.0,Taylor McCuller,LB,3200.0,2.0,,,,867.0,41106.0,32.0,874.0,4707.0
20140962.0,Malcolm Butler,DB,3200.0,166.0,,14.0,4.0,1104.0,51097.0,283.0,3715.0,841.0
20130226.0,Michael Buchanan,DE,3200.0,12.0,,,2.0,608.0,37394.0,2.0,217.0,9197.0
20130235.0,Steve Beauharnais,LB,3200.0,12.0,,2.0,,867.0,41106.0,32.0,874.0,4707.0
20120165.0,Darius Fleming,LB,3200.0,14.0,,,,867.0,41106.0,32.0,874.0,4707.0
20140198.0,Zach Moore,DE,3200.0,26.0,,,6.0,608.0,37394.0,2.0,217.0,9197.0
20060088.0,James Anderson,LB,3200.0,4.0,,,,867.0,41106.0,32.0,874.0,4707.0
20130083.0,Logan Ryan,DB,3200.0,371.0,,16.0,10.0,1104.0,51097.0,283.0,3715.0,841.0
20140652.0,Travis Hawkins,DB,3200.0,6.0,,,,1104.0,51097.0,283.0,3715.0,841.0
20120048.0,Tavon Wilson,S,3200.0,111.0,,1.0,10.0,411.0,26572.0,92.0,1926.0,775.0
20110169.0,Chris White,LB,3200.0,12.0,,,,867.0,41106.0,32.0,874.0,4707.0
20120694.0,Marcus Forston,DL,3200.0,4.0,,,,97.0,3445.0,5.0,4.0,279.0
20090034.0,Patrick Chung,S,3200.0,144.0,,6.0,,411.0,26572.0,92.0,1926.0,775.0
20130596.0,Joe Vellano,DL,3200.0,38.0,,,2.0,97.0,3445.0,5.0,4.0,279.0
20120197.0,Nate Ebner,DB,3200.0,21.0,1.0,2.0,,1104.0,51097.0,283.0,3715.0,841.0
20130198.0,Chris Jones,DT,3200.0,40.0,,,8.0,580.0,37418.0,2.0,88.0,3901.0
20040018.0,Will Smith,DE,3200.0,6.0,,,,608.0,37394.0,2.0,217.0,9197.0
20140916.0,Eathyn Manumaleuna,DL,3200.0,6.0,,,,97.0,3445.0,5.0,4.0,279.0
20140987.0,L.T. Tuipulotu,DL,3200.0,8.0,,,,97.0,3445.0,5.0,4.0,279.0
20050439.0,Brandon Browner,DB,3200.0,32.0,,6.0,,1104.0,51097.0,283.0,3715.0,841.0
20130465.0,Dax Swanson,DB,3200.0,8.0,,,,1104.0,51097.0,283.0,3715.0,841.0
20130091.0,Duron Harmon,S,3200.0,158.0,,32.0,,411.0,26572.0,92.0,1926.0,775.0
20040673.0,Tommy Kelly,DT,3200.0,74.0,,,2.0,580.0,37418.0,2.0,88.0,3901.0
20130864.0,Justin Green,DB,3200.0,6.0,,,,1104.0,51097.0,283.0,3715.0,841.0
20140655.0,Deontae Skinner,LB,3200.0,20.0,,,2.0,867.0,41106.0,32.0,874.0,4707.0
20080598.0,Kyle Arrington,DB,3200.0,40.0,,,2.0,1104.0,51097.0,283.0,3715.0,841.0
20040021.0,Vince Wilfork,DT,3200.0,44.0,,2.0,,580.0,37418.0,2.0,88.0,3901.0
20140650.0,Shamiel Gary,DB,3200.0,11.0,,,,1104.0,51097.0,283.0,3715.0,841.0
20100737.0,Will Tukuafu,DL,4500.0,14.0,1.0,,,97.0,3445.0,5.0,4.0,279.0
20130088.0,Corey Lemonier,DE,4500.0,28.0,,1.0,7.0,608.0,37394.0,2.0,217.0,9197.0
20130040.0,Cornellius Carradine,DE,4500.0,63.0,,,15.0,608.0,37394.0,2.0,217.0,9197.0
20130157.0,Quinton Dial,DE,4500.0,89.0,,,4.0,608.0,37394.0,2.0,217.0,9197.0
20130180.0,Nick Moody,LB,4500.0,14.0,,,,867.0,41106.0,32.0,874.0,4707.0
20130517.0,Mike Purcell,DT,4500.0,56.0,,,2.0,580.0,37418.0,2.0,88.0,3901.0
20130714.0,Chase Thomas,LB,4500.0,8.0,,,2.0,867.0,41106.0,32.0,874.0,4707.0
20140077.0,Chris Borland,LB,4500.0,26.0,,6.0,4.0,867.0,41106.0,32.0,874.0,4707.0
20140740.0,Shayne Skov,LB,4500.0,11.0,,,,867.0,41106.0,32.0,874.0,4707.0
20140739.0,L.J. McCray,S,4500.0,12.0,,,1.0,411.0,26572.0,92.0,1926.0,775.0
20140129.0,Dontae Johnson,DB,4500.0,106.0,,8.0,,1104.0,51097.0,283.0,3715.0,841.0
20140030.0,Jimmie Ward,S,4500.0,82.0,,2.0,2.0,411.0,26572.0,92.0,1926.0,775.0
20070611.0,Craig Dahl,S,4500.0,32.0,1.0,2.0,,411.0,26572.0,92.0,1926.0,775.0
20090582.0,Dan Skuta,LB,4500.0,35.0,,,12.0,867.0,41106.0,32.0,874.0,4707.0
20090606.0,C.J. Spillman,S,4500.0,24.0,,2.0,,411.0,26572.0,92.0,1926.0,775.0
20100034.0,Chris Cook,DB,4500.0,18.0,,4.0,,1104.0,51097.0,283.0,3715.0,841.0
20100137.0,Perrish Cox,DB,4500.0,36.0,2.0,10.0,,1104.0,51097.0,283.0,3715.0,841.0
20050690.0,Raymond Ventrone,S,4500.0,4.0,,,,411.0,26572.0,92.0,1926.0,775.0
20130515.0,Darryl Morris,DB,4500.0,48.0,,4.0,,1104.0,51097.0,283.0,3715.0,841.0
20110426.0,Michael Wilhoite,LB,4500.0,92.0,,8.0,2.0,867.0,41106.0,32.0,874.0,4707.0
20110080.0,Chris Culliver,DB,4500.0,36.0,,8.0,,1104.0,51097.0,283.0,3715.0,841.0
20140180.0,Kenneth Acker,DB,4500.0,61.0,1.0,6.0,,1104.0,51097.0,283.0,3715.0,841.0
20130614.0,Lawrence Okoye,DT,4500.0,12.0,,,1.0,580.0,37418.0,2.0,88.0,3901.0
20120647.0,Tony Jerod-Eddie,DT,4500.0,40.0,,,,580.0,37418.0,2.0,88.0,3901.0
20060772.0,Ahmad Brooks,LB,4500.0,79.0,1.0,,16.0,867.0,41106.0,32.0,874.0,4707.0
20060207.0,Antoine Bethea,S,4500.0,188.0,,30.0,6.0,411.0,26572.0,92.0,1926.0,775.0
20130018.0,Eric Reid,S,4500.0,121.0,,16.0,8.0,411.0,26572.0,92.0,1926.0,775.0
20110669.0,Demarcus Dobbs,DL,4500.0,32.0,,,,97.0,3445.0,5.0,4.0,279.0
20060631.0,Blake Costanzo,LB,4500.0,2.0,,,,867.0,41106.0,32.0,874.0,4707.0
20120216.0,D.J. Campbell,S,4500.0,6.0,,,,411.0,26572.0,92.0,1926.0,775.0
20130129.0,John Simon,DE,325.0,107.0,,9.0,28.0,608.0,37394.0,2.0,217.0,9197.0
20100685.0,Albert McClellan,LB,325.0,64.0,,,,867.0,41106.0,32.0,874.0,4707.0
20140442.0,Tramain Jacobs,DB,325.0,19.0,,,,1104.0,51097.0,283.0,3715.0,841.0
20140017.0,C.J. Mosley,LB,325.0,218.0,1.0,13.0,17.0,867.0,41106.0,32.0,874.0,4707.0
20130200.0,Kapron Lewis-Moore,DE,325.0,6.0,,,,608.0,37394.0,2.0,217.0,9197.0
20110164.0,Chykie Brown,DB,325.0,60.0,,,,1104.0,51097.0,283.0,3715.0,841.0
20140048.0,Timmy Jernigan,DT,325.0,161.0,,,22.0,580.0,37418.0,2.0,88.0,3901.0
20140079.0,Terrence Brooks,S,325.0,135.0,1.0,12.0,2.0,411.0,26572.0,92.0,1926.0,775.0
20130609.0,Brynden Trawick,S,325.0,101.0,,4.0,1.0,411.0,26572.0,92.0,1926.0,775.0
20100447.0,Darian Stewart,S,325.0,165.0,,16.0,2.0,411.0,26572.0,92.0,1926.0,775.0
20130032.0,Matt Elam,S,325.0,84.0,,,2.0,411.0,26572.0,92.0,1926.0,775.0
20130094.0,Brandon Williams,DT,325.0,238.0,,,6.0,580.0,37418.0,2.0,88.0,3901.0
