playerId,teamId,draftTradeValue
19780136,2520,38.0
19780137,3410,37.5
19780138,1200,37.0
19780139,810,36.5
19780140,3430,36.0
19780141,3300,35.5
19780142,3430,35.0
19780143,2520,34.5
19780144,1800,34.0
19780145,610,33.5
19780146,4600,33.0
19780147,3410,32.6
19780148,4500,32.2
19780149,1050,31.8
19780150,1540,31.4
19780151,2510,31.0
19780152,200,30.6
19780153,1540,30.2
19780154,2100,29.8
19780155,920,29.4
19780156,3200,29.0
19780157,3300,28.6
19780158,810,28.2
19780159,5110,27.8
19780160,3900,27.4
19780161,325,27.0
19780162,4900,26.6
19780163,2700,26.2
19780164,2520,25.8
19780165,1540,25.4
19780166,1200,25.0
19780167,200,24.6
19780168,2310,24.2
19780169,3430,23.8
19780170,3430,23.4
19780171,610,23.0
19780172,1800,22.6
19780173,4600,22.2
19780174,3410,21.8
19780175,4500,21.4
19780176,2520,21.0
19780177,1540,20.6
19780178,2700,20.2
19780179,200,19.8
19780180,4400,19.4
19780181,2510,19.0
19780182,920,18.6
19780183,610,18.2
19780184,2310,17.8
19780185,810,17.4
19780186,3700,17.0
19780187,3900,16.6
19780188,3200,16.2
19780189,2510,15.8
19780190,2700,15.4
19780191,325,15.0
19780192,2520,14.6
19780193,920,14.2
19780194,1200,13.8
19780195,2310,13.4
19780196,4900,13.0
19780197,3430,12.6
19780198,3200,12.2
19780199,3300,11.8
19780200,1800,11.4
19780201,3410,11.0
19780202,5110,10.6
19780203,3430,10.2
19780204,3000,9.8
19780205,1050,9.4
19780206,1540,9.0
19780207,2520,8.6
19780208,3900,8.2
19780209,200,7.8
19780210,2100,7.4
19780211,920,7.0
19780212,810,6.6
19780213,3430,6.2
19780214,3900,5.8
19780215,3200,5.4
19780216,200,5.0
19780217,2700,4.6
19780218,325,4.2
19780219,5110,3.8
19780220,4400,3.4
19780221,1400,3.0
19780222,1200,2.6
19780223,4900,2.3
19780224,2310,2.0
19780225,3430,1.96
19780226,3300,1.92
19780227,3430,1.88
19780228,1800,1.84
19780229,4500,1.8
19780230,3700,1.76
19780231,4600,1.72
19780232,3410,1.68
19780233,4500,1.64
19780234,1050,1.6
19780235,2510,1.56
19780236,200,1.52
19780237,4400,1.48
19780238,920,1.44
19780239,2100,1.4
19780240,3000,1.36
19780241,3900,1.32
19780242,3200,1.28
19780243,5110,1.24
19780244,810,1.2
19780245,325,1.16
19780246,2510,1.12
19780247,2700,1.08
19780248,4400,1.04
19780249,4500,1.0
19780250,1200,0.96
19780251,2310,0.92
19780252,4900,0.88
19780253,3410,0.84
19780254,3430,0.8
19780255,610,0.76
19780256,1800,0.72
19780257,200,0.68
19780258,4600,0.64
19780259,1800,0.6
19780260,4500,0.56
19780261,1050,0.52
19780262,1540,0.48
19780263,200,0.44
19780264,4400,0.4
19780265,2510,0.36
19780266,2100,0.32
19780267,920,0.28
19780268,3900,0.24
19780269,3200,0.2
19780270,5110,0.16
19780271,810,0.12
19780272,3000,0.08
19780273,2510,0.0
19780274,2700,0.0
19780275,325,0.0
19780276,3900,0.0
19780277,1400,0.0
19780278,1200,0.0
19780279,3900,0.0
19780280,2310,0.0
19780281,3430,0.0
19780282,610,0.0
19780283,3300,0.0
19780284,1800,0.0
19780285,3300,0.0
19780286,3410,0.0
19780287,4500,0.0
19780288,3700,0.0
19780289,1540,0.0
19780290,1050,0.0
19780291,2520,0.0
19780292,200,0.0
19780293,920,0.0
19780294,920,0.0
19780295,2100,0.0
19780296,3200,0.0
19780297,5110,0.0
19780298,810,0.0
19780299,3000,0.0
19780300,3900,0.0
19780301,4600,0.0
19780302,325,0.0
19780303,2510,0.0
19780304,2520,0.0
19780305,1400,0.0
19780306,1200,0.0
19780307,4900,0.0
19780308,610,0.0
19780309,3300,0.0
19780310,2310,0.0
19780311,3430,0.0
19780312,1800,0.0
19780313,3410,0.0
19780314,4500,0.0
19780315,3700,0.0
19780316,4600,0.0
19780317,1050,0.0
19780318,1540,0.0
19780319,2510,0.0
19780320,200,0.0
19780321,4400,0.0
19780322,2100,0.0
19780323,920,0.0
19780324,5110,0.0
19780325,810,0.0
19780326,3000,0.0
19780327,3900,0.0
19780328,3200,0.0
19780329,325,0.0
19780330,2510,0.0
19780331,2700,0.0
19780332,2520,0.0
19780333,2700,0.0
19780334,1200,0.0
19790001,610,3000.0
19790002,2310,2600.0
19790003,920,2200.0
19790004,810,1800.0
19790005,610,1700.0
19790006,325,1600.0
19790007,3410,1500.0
19790008,2510,1400.0
19790009,810,1350.0
19790010,1540,1300.0
19790011,3300,1250.0
19790012,920,1200.0
19790013,4400,1150.0
19790014,3430,1100.0
19790015,1800,1050.0
19790016,3000,1000.0
19790017,200,950.0
19790018,4600,900.0
19790019,2510,875.0
19790020,1050,850.0
19790021,3700,800.0
19790022,1400,780.0
19790023,2310,760.0
19790024,2700,740.0
19790025,3200,720.0
19790026,2510,700.0
19790027,1200,680.0
19790028,3900,660.0
19790029,4500,640.0
19790030,920,620.0
19790031,2100,600.0
19790032,610,590.0
19790033,4900,580.0
19790034,4900,560.0
19790035,2510,550.0
19790036,3410,540.0
19790037,1540,530.0
19790038,3300,520.0
19790039,810,510.0
19790040,1050,500.0
19790041,3430,490.0
19790042,2520,480.0
19790043,3000,470.0
19790044,1800,460.0
19790045,4600,450.0
19790046,2510,440.0
19790047,1050,430.0
19790048,3700,420.0
19790049,200,410.0
19790050,2100,400.0
19790051,610,390.0
19790052,3200,380.0
19790053,2700,370.0
19790054,2510,360.0
19790055,1200,350.0
19790056,3900,340.0
19790057,4600,330.0
19790058,2510,320.0
19790059,920,310.0
19790060,4900,300.0
19790061,2700,292.0
19790062,610,284.0
19790063,2700,276.0
19790064,2510,270.0
19790065,2700,265.0
19790066,810,260.0
19790067,1540,255.0
19790068,3430,250.0
19790069,325,245.0
19790070,1050,240.0
19790071,1800,235.0
19790072,2100,230.0
19790073,4400,225.0
19790074,3700,220.0
19790075,200,215.0
19790076,1200,210.0
19790077,1400,205.0
19790078,4900,200.0
19790079,200,195.0
19790080,4900,190.0
19790081,2510,185.0
19790082,4500,180.0
19790083,610,175.0
19790084,920,170.0
19790085,2310,165.0
19790086,3900,160.0
19790087,610,155.0
19790088,1540,150.0
19790089,2510,145.0
19790090,3410,140.0
19790091,920,136.0
19790092,1540,132.0
19790093,3300,128.0
19790094,3700,124.0
19790095,1050,120.0
19790096,3430,116.0
19790097,3000,112.0
19790098,3430,108.0
19790099,2510,104.0
19790100,200,100.0
19790101,200,96.0
19790102,4600,92.0
19790103,5110,88.0
19790104,4400,86.0
19790105,1400,84.0
19790106,3200,82.0
19790107,2700,80.0
19790108,2510,78.0
19790109,1200,76.0
19790110,3900,74.0
19790111,4500,72.0
19790112,2310,70.0
19790113,920,68.0
19790114,610,66.0
19790115,325,64.0
19790116,610,62.0
19790117,3410,60.0
19790118,2510,58.0
19790119,4500,56.0
19790120,3300,54.0
19790121,1200,52.0
19790122,2510,50.0
19790123,3430,49.0
19790124,1050,48.0
19790125,3430,47.0
19790126,3700,46.0
19790127,200,45.0
19790128,1200,44.0
19790129,3000,43.0
19790130,2510,42.0
19790131,1540,41.0
19790132,1400,40.0
19790133,4900,39.5
19790134,2700,39.0
19790135,3200,38.5
19790136,1200,38.0
19790137,3900,37.5
19790138,4500,37.0
19790139,920,36.5
19790140,2310,36.0
19790141,610,35.5
19790142,2520,35.0
19790143,2100,34.5
19790144,2510,34.0
19790145,3410,33.5
19790146,3300,33.0
19790147,810,32.6
19790148,1400,32.2
19790149,3430,31.8
19790150,325,31.4
19790151,1050,31.0
19790152,3000,30.6
19790153,1800,30.2
19790154,200,29.8
19790155,1200,29.4
19790156,2520,29.0
19790157,3900,28.6
19790158,3410,28.2
19790159,2100,27.8
19790160,1200,27.4
19790161,3900,27.0
19790162,2700,26.6
19790163,1050,26.2
19790164,1200,25.8
19790165,3900,25.4
19790166,4500,25.0
19790167,2310,24.6
19790168,920,24.2
19790169,4600,23.8
19790170,610,23.4
19790171,2100,23.0
19790172,3410,22.6
19790173,2510,22.2
19790174,810,21.8
19790175,2520,21.4
19790176,3300,21.0
19790177,3200,20.6
19790178,3700,20.2
19790179,3430,19.8
19790180,1800,19.4
19790181,3000,19.0
19790182,5110,18.6
19790183,1050,18.2
19790184,1800,17.8
19790185,3700,17.4
19790186,200,17.0
19790187,3430,16.6
19790188,1400,16.2
19790189,2700,15.8
19790190,2510,15.4
19790191,1200,15.0
19790192,3900,14.6
19790193,1800,14.2
19790194,920,13.8
19790195,2310,13.4
19790196,3700,13.0
19790197,325,12.6
19790198,3430,12.2
19790199,2510,11.8
19790200,3410,11.4
19790201,3410,11.0
19790202,3300,10.6
19790203,810,10.2
19790204,1050,9.8
19790205,3430,9.4
19790206,2700,9.0
19790207,325,8.6
19790208,1800,8.2
19790209,2520,7.8
19790210,4400,7.4
19790211,3700,7.0
19790212,200,6.6
19790213,1540,6.2
19790214,2100,5.8
19790215,2700,5.4
19790216,3200,5.0
19790217,4900,4.6
19790218,2310,4.2
19790219,1200,3.8
19790220,3900,3.4
19790221,4500,3.0
19790222,2310,2.6
19790223,920,2.3
19790224,325,2.0
19790225,4900,1.96
19790226,610,1.92
19790227,3410,1.88
19790228,2510,1.84
19790229,2310,1.8
19790230,810,1.76
19790231,1540,1.72
19790232,3430,1.68
19790233,5110,1.64
19790234,1050,1.6
19790235,1800,1.56
19790236,3000,1.52
19790237,4400,1.48
19790238,2520,1.44
19790239,200,1.4
19790240,4600,1.36
19790241,1050,1.32
19790242,1400,1.28
19790243,2100,1.24
19790244,2700,1.2
19790245,3200,1.16
19790246,2510,1.12
19790247,1200,1.08
19790248,3900,1.04
19790249,4500,1.0
19790250,920,0.96
19790251,2310,0.92
19790252,4500,0.88
19790253,610,0.84
19790254,325,0.8
19790255,2510,0.76
19790256,3410,0.72
19790257,810,0.68
19790258,2700,0.64
19790259,2520,0.6
19790260,2310,0.56
19790261,1050,0.52
19790262,3430,0.48
19790263,3430,0.44
19790264,1800,0.4
19790265,4400,0.36
19790266,200,0.32
19790267,4600,0.28
19790268,2310,0.24
19790269,4400,0.2
19790270,3200,0.16
19790271,3200,0.12
19790272,2700,0.08
19790273,2510,0.0
19790274,1200,0.0
19790275,3900,0.0
19790276,4500,0.0
19790277,2310,0.0
19790278,920,0.0
19790279,610,0.0
19790280,325,0.0
19790281,4900,0.0
19790282,3410,0.0
19790283,2510,0.0
19790284,3410,0.0
19790285,3300,0.0
19790286,810,0.0
19790287,1050,0.0
19790288,3430,0.0
19790289,5110,0.0
19790290,1800,0.0
19790291,3000,0.0
19790292,200,0.0
19790293,4600,0.0
19790294,2520,0.0
19790295,4400,0.0
19790296,3700,0.0
19790297,1400,0.0
19790298,2100,0.0
19790299,2700,0.0
19790300,5110,0.0
19790301,2510,0.0
19790302,1540,0.0
19790303,3900,0.0
19790304,920,0.0
19790305,2310,0.0
19790306,325,0.0
19790307,4900,0.0
19790308,610,0.0
19790309,2510,0.0
19790310,3410,0.0
19790311,3300,0.0
19790312,810,0.0
19790313,1540,0.0
19790314,3430,0.0
19790315,1050,0.0
19790316,2520,0.0
19790317,3000,0.0
19790318,1800,0.0
19790319,4600,0.0
19790320,2520,0.0
19790321,4400,0.0
19790322,3900,0.0
19790323,200,0.0
19790324,2100,0.0
19790325,1400,0.0
19790326,1540,0.0
19790327,2700,0.0
19790328,2510,0.0
19790329,1200,0.0
19790330,3900,0.0
19800001,1540,3000.0
19800002,3430,2600.0
19800003,920,2200.0
19800004,1800,1800.0
19800005,325,1700.0
19800006,2510,1600.0
19800007,200,1500.0
19800008,3410,1400.0
19800009,3000,1350.0
19800010,4600,1300.0
19800011,2310,1250.0
19800012,3300,1200.0
19800013,4500,1150.0
19800014,3200,1100.0
19800015,2520,1050.0
19800016,610,1000.0
19800017,2510,950.0
19800018,5110,900.0
19800019,810,875.0
19800020,4500,850.0
19800021,2700,800.0
19800022,4900,780.0
19800023,3700,760.0
19800024,325,740.0
19800025,3200,720.0
19800026,1800,700.0
19800027,1050,680.0
19800028,3900,660.0
19800029,610,640.0
19800030,3000,620.0
19800031,920,600.0
19800032,325,590.0
19800033,2510,580.0
19800034,1800,560.0
19800035,3900,550.0
19800036,200,540.0
19800037,610,530.0
19800038,2100,520.0
19800039,4500,510.0
19800040,3430,500.0
19800041,3300,490.0
19800042,1400,480.0
19800043,2520,470.0
19800044,4600,460.0
19800045,3200,450.0
19800046,810,440.0
19800047,3430,430.0
19800048,2700,420.0
19800049,4900,410.0
19800050,2510,400.0
19800051,325,390.0
19800052,2100,380.0
19800053,3700,370.0
19800054,1050,360.0
19800055,5110,350.0
19800056,3900,340.0
19800057,1540,330.0
19800058,2510,320.0
19800059,920,310.0
19800060,2510,300.0
19800061,1800,292.0
19800062,1540,284.0
19800063,200,276.0
19800064,3410,270.0
19800065,4500,265.0
19800066,2310,260.0
19800067,610,255.0
19800068,3000,250.0
19800069,3430,245.0
19800070,2510,240.0
19800071,610,235.0
19800072,1050,230.0
19800073,3200,225.0
19800074,1400,220.0
19800075,2700,215.0
19800076,4900,210.0
19800077,4500,205.0
19800078,1200,200.0
19800079,2100,195.0
19800080,1200,190.0
19800081,2510,185.0
19800082,2510,180.0
19800083,3900,175.0
19800084,4500,170.0
19800085,1540,165.0
19800086,920,160.0
19800087,1800,155.0
19800088,325,150.0
19800089,2510,145.0
19800090,3410,140.0
19800091,200,136.0
19800092,3000,132.0
19800093,610,128.0
19800094,2310,124.0
19800095,3430,120.0
19800096,3300,116.0
19800097,4600,112.0
19800098,4500,108.0
19800099,1050,104.0
19800100,2700,100.0
19800101,4400,96.0
19800102,4900,92.0
19800103,810,88.0
19800104,200,86.0
19800105,1200,84.0
19800106,2100,82.0
19800107,1400,80.0
19800108,4400,78.0
19800109,1050,76.0
19800110,3900,74.0
19800111,1540,72.0
19800112,4500,70.0
19800113,920,68.0
19800114,2310,66.0
19800115,2310,64.0
19800116,1050,62.0
19800117,200,60.0
19800118,3410,58.0
19800119,610,56.0
19800120,1540,54.0
19800121,3000,52.0
19800122,3000,50.0
19800123,3430,49.0
19800124,3200,48.0
19800125,2520,47.0
19800126,2520,46.0
19800127,4600,45.0
19800128,2520,44.0
19800129,610,43.0
19800130,810,42.0
19800131,1400,41.0
19800132,4600,40.0
19800133,1200,39.5
19800134,2100,39.0
19800135,3700,38.5
19800136,1400,38.0
19800137,200,37.5
19800138,3900,37.0
19800139,4500,36.5
19800140,1540,36.0
19800141,920,35.5
19800142,2510,35.0
19800143,1800,34.5
19800144,325,34.0
19800145,3410,33.5
