playId,teamId,playerId,fumForcedPosition,fumForcedTurnover,fumForcedNull
8029748,610,20080011,CB,1,0
8029919,3000,20070102,DE,0,0
8029924,810,20080120,SS,0,0
8029926,810,20030035,CB,0,0
8030164,3000,20090231,S,1,0
8030293,3000,20070102,DE,1,0
8030401,3000,20100100,LB,0,0
8030458,2250,20090072,DT,1,0
8030581,4400,20070037,FS,1,0
8030645,4400,20070134,OLB,1,0
8030666,4400,20100146,DT,1,0
8030810,4500,20060008,S,0,0
8030824,3000,20090231,S,1,0
8030860,4500,20060772,LB,1,0
8030862,3000,20040126,DE,1,0
8030905,4900,20090496,DE,1,0
8030933,4900,19970066,DB,1,0
8031074,3000,20090150,LB,1,0
8031095,3000,20080501,LB,0,0
8031276,3200,20120021,DE,1,0
8031383,3200,20100062,LB,1,0
8031440,3200,20080010,LB,0,0
8031531,325,20060054,SS,1,0
8031601,3200,20040021,DL,1,0
8031720,3200,20100027,CB,1,0
8031754,3200,20100062,LB,0,0
8031768,3200,20110897,DB,1,0
8031883,3200,20060135,LB,1,0
8031922,1400,20060126,DE,0,0
8031933,1400,20110002,SLB,1,0
8031940,3200,20060135,LB,1,0
8031961,2120,20100081,NT,0,0
8031984,3200,20040021,DL,0,0
8032083,2120,20110011,DE,0,0
8032257,3200,20120224,CB,0,0
8032368,3200,20100247,DL,0,0
8032384,3200,20090232,WR,0,0
8032403,2200,20090041,CB,0,0
8032423,3200,20060135,LB,1,0
8032656,3300,20040018,DE,1,0
8032812,3200,20080169,LB,0,0
8032856,3200,20080010,LB,0,0
8032983,3430,20080204,FB,1,0
8033016,3200,20060135,LB,1,0
8033079,3700,20090607,DE,1,0
8033227,3200,20060419,S,1,0
8033243,4500,20100091,LB,1,0
8033302,4500,20060008,S,1,0
8033561,3800,20120821,S,1,0
8033940,2120,20090112,SS,1,0
8033957,3300,20110739,S,1,0
8033966,3300,20120162,CB,1,0
8033984,2120,20060042,FS,1,0
8033993,3300,20090014,S,1,0
8034089,3300,20070054,DE,0,0
8034152,2250,20060191,DL,1,0
8034358,3300,20100680,DE,1,0
8034489,3300,20110024,DE,0,0
8034567,3700,20100013,DE,1,0
8034571,3700,20120778,RB,1,0
8034605,3700,20040027,DE,0,0
8034622,3300,20080037,LB,1,0
8034648,4400,20070037,FS,0,0
8034694,4400,20080027,CB,0,0
8034812,3300,20110072,DE,1,0
8035130,3300,20110024,DE,1,0
8035222,5110,20060048,CB,1,0
8035294,3300,20070161,LB,0,0
8035420,3410,20110785,LB,0,0
8035506,810,20110156,DB,0,0
8035585,3410,20110949,S,1,0
8035697,1200,20100055,LB,1,0
8035901,3410,20030056,DE,1,0
8036109,3200,20120224,CB,0,0
8036127,3410,20120742,DE,1,0
8036147,3410,20100251,S,1,0
8036161,3410,20050008,S,1,0
8036482,3410,20120094,CB,0,0
8036527,3410,20030056,DE,1,0
8036613,3900,20070046,OLB,0,0
8036629,3410,20100184,DE,0,0
8036896,3410,20100046,DT,1,0
8036927,3410,20100015,DE,1,0
