playId,teamId,playerId,intPosition,int,intYards,intTd,intNull
10018448,1540,20090112,S,1,18,0,0
10018546,1540,20090112,S,1,0,0,0
10018571,1540,20070737,S,1,11,0,0
10018720,1800,20100071,S,1,32,0,0
10018952,1800,20120062,CB,1,21,0,0
10019024,1800,20130159,DB,1,9,0,0
10019146,1800,20120062,CB,1,82,1,0
10019546,1800,20060572,CB,1,0,0,0
10019714,1800,20020002,LB,1,49,1,0
10019718,1800,20110772,LB,1,10,0,0
10019784,3000,20120029,S,1,5,0,0
10020061,1800,20060724,CB,1,0,0,0
10020248,2520,20140005,LB,1,13,0,0
10020459,1800,20020002,LB,1,52,1,0
10020484,1800,20060724,CB,1,2,0,0
10020641,200,20130243,S,1,0,0,0
10020668,2120,20140216,CB,1,64,1,0
10020674,2120,20140564,ILB,1,16,0,0
10020710,325,20100447,S,1,0,0,0
10020760,2120,20130717,CB,1,2,0,0
10020767,2120,20100020,CB,1,5,0,0
10020804,2120,20100020,CB,1,27,0,0
10020947,610,20080011,CB,1,0,0,0
10020970,610,20120105,LB,1,0,0,0
10020973,2120,20110011,DE,1,80,1,0
10021059,2120,20130515,CB,1,0,0,0
10021143,920,20090038,LB,1,4,0,0
10021161,2120,20060024,CB,1,60,1,0
10021304,2120,20130734,ILB,1,8,0,0
10021440,2250,20130064,CB,1,55,1,0
10021610,2120,20130717,DB,1,51,1,0
10021643,2120,20130505,CB,1,13,0,0
10021710,2120,20130505,CB,1,4,0,0
10021716,3700,20060033,LB,1,0,0,0
10021830,4500,20100034,CB,1,33,0,0
10021850,4500,20140077,LB,1,34,1,0
10021865,2120,20140216,CB,1,77,1,0
10021927,2120,20060024,CB,1,25,0,0
10022006,2120,20130505,CB,1,8,0,0
10022059,2120,20130717,CB,1,67,0,0
10022249,325,20060012,DT,1,3,0,0
10022309,2200,20090025,CB,1,29,0,0
10022343,325,20140017,LB,1,18,0,0
10022759,2120,20100136,S,1,27,1,0
10022897,2200,20090025,CB,1,8,0,0
10022908,2200,20090025,CB,1,42,0,0
10023088,2200,20040420,S,1,0,0,0
10023109,3200,20100027,DB,1,10,0,0
10023130,2200,20040420,S,1,10,0,0
10023265,3300,20130015,S,1,0,0,0
10023342,2200,20100646,CB,1,0,0,0
10023347,3300,20140659,CB,1,0,0,0
10023690,2200,20090131,CB,1,0,0,0
10023763,3700,20090014,S,1,8,0,0
10023819,2200,20040420,S,1,8,0,0
10023863,2100,20080407,LB,1,7,0,0
10023946,2200,20040420,S,1,6,0,0
10023960,5110,20020525,S,1,8,0,0
10024306,1050,20120463,DB,1,31,0,0
10024363,1050,20120463,DB,1,1,0,0
10024418,1050,20110137,DB,1,6,0,0
10024450,2250,20140144,LB,1,15,0,0
10024607,1200,20110040,LB,1,0,0,0
10024748,2120,20130057,SS,1,6,0,0
10024922,2200,20090025,CB,1,-7,0,0
10024951,2200,20090131,CB,1,47,1,0
10025001,2700,20090033,S,1,81,1,0
10025049,2700,20060758,CB,1,22,1,0
10025098,2250,20110195,LB,1,0,0,0
10025356,3900,20110128,CB,1,0,0,0
10025433,3900,20090188,CB,1,22,1,0
10025492,2250,20120181,S,1,68,1,0
10025812,2310,20090061,CB,1,36,1,0
10025824,920,20120017,CB,1,40,1,0
10025863,2310,20130846,S,1,51,1,0
10026027,1400,20050011,DE,1,3,0,0
10026115,2310,20110639,CB,1,10,0,0
10026271,3000,20090216,CB,1,14,0,0
10026282,3000,20060017,LB,1,28,0,0
10026311,2310,20110639,CB,1,0,0,0
10026350,3000,20120156,CB,1,34,0,0
10026496,2310,20090061,CB,1,34,0,0
10026524,2310,20080497,S,1,39,1,0
10026967,2310,20100244,S,1,0,0,0
10027050,2310,20100244,S,1,0,0,0
10027274,2100,20090203,CB,1,0,0,0
10027302,2100,20090203,CB,1,0,0,0
10027369,2100,20070019,S,1,12,0,0
10027537,3800,20110005,CB,1,0,0,0
10027589,2510,20120039,CB,1,25,1,0
10027668,1200,20110040,LB,1,25,1,0
10027694,1200,20120006,CB,1,-8,0,0
10027819,2510,20130030,LB,1,0,0,0
10027845,2510,20120065,CB,1,4,0,0
10028102,3000,20120066,CB,1,0,0,0
10028178,3000,20120029,S,1,81,1,0
10028201,2510,20080002,DE,1,2,0,0
10028352,2510,20140758,LB,1,-2,0,0
10028404,3410,20140823,DE,1,7,0,0
10028600,2510,20140188,CB,1,0,0,0
10028610,2510,20120065,CB,1,22,0,0
10028695,2510,20120065,CB,1,43,1,0
10029031,4500,20140129,CB,1,20,1,0
10029092,2700,20100223,CB,1,0,0,0
10029441,1200,20140875,CB,1,1,0,0
10029487,1200,20140875,CB,1,9,1,0
10029574,1800,20120062,CB,1,10,0,0
10029595,1800,20100592,CB,1,0,0,0
10029918,2510,20140188,CB,1,12,0,0
10030081,3000,20120029,S,1,11,0,0
10030150,2700,20120608,DE,1,2,0,0
10030262,3200,20120224,CB,1,0,0,0
10030625,2700,20100163,S,1,16,0,0
10030680,2700,20060758,CB,1,26,0,0
10030690,2700,20060758,CB,1,0,0,0
10031068,3000,20120029,S,1,1,0,0
10031081,3000,20120066,CB,1,-1,0,0
10031233,3000,20120066,CB,1,23,0,0
10031315,810,20140014,CB,1,31,0,0
10031409,1540,20090112,S,1,20,0,0
10031470,1540,20120138,LB,1,2,0,0
10031486,1540,20120138,LB,1,0,0,0
10031622,1800,20130159,DB,1,0,0,0
10031740,3200,20100027,DB,1,60,0,0
10031765,3200,20070014,CB,1,0,0,0
10031818,3200,20130083,CB,1,0,0,0
10031867,3200,20140029,DL,1,0,0,0
10031886,3000,20130120,LB,1,27,1,0
10031966,3430,20110562,CB,1,0,0,0
10032116,3000,20100244,S,1,1,0,0
10032300,3000,20090216,CB,1,1,0,0
10032475,325,20040039,ILB,1,0,0,0
10032524,3200,20100027,DB,1,0,0,0
10032568,3200,20130091,DB,1,0,0,0
10032835,3200,20130235,LB,1,61,0,0
10032974,3200,20070014,CB,1,0,0,0
10033278,3200,20060135,DE,1,11,0,0
10033336,1400,20140031,CB,1,0,0,0
10033358,3200,20050439,CB,1,30,0,0
10033539,1540,20070737,S,1,5,0,0
10033605,3200,20130083,CB,1,0,0,0
10033681,2200,20060034,ILB,1,6,0,0
10033745,3200,20070014,CB,1,30,0,0
10033772,3200,20130052,LB,1,25,0,0
10033811,2700,20070692,LB,1,0,0,0
10033842,3200,20130091,DB,1,60,0,0
10033908,3200,20090034,S,1,10,0,0
10034302,3200,20040021,DL,1,1,0,0
10034317,3700,20080229,CB,1,77,1,0
10034403,3200,20130091,DB,1,33,0,0
10034439,3200,20120197,DB,1,0,0,0
10034524,200,20130022,CB,1,0,0,0
10034639,200,20100249,CB,1,5,0,0
10034681,3300,20140673,S,1,0,0,0
10034916,325,20110949,S,1,44,1,0
10034990,750,20140148,CB,1,0,0,0
10035404,3300,20080543,ILB,1,10,0,0
10035429,3300,20120162,CB,1,0,0,0
10035625,4500,20060207,S,1,22,0,0
10035704,4500,20110080,CB,1,29,0,0
10035867,3300,20100032,CB,1,0,0,0
10035888,4900,20130043,CB,1,0,0,0
10035909,4900,20080566,LB,1,33,1,0
10035982,4900,20100104,CB,1,0,0,0
10036132,3300,20140167,S,1,19,0,0
10036201,3800,20110103,LB,1,3,0,0
10036343,3800,20020128,LB,1,0,0,0
10036433,3410,20080117,S,1,6,0,0
10036629,1200,20100571,S,1,45,0,0
10036698,3410,20110019,CB,1,0,0,0
10036750,3410,20050008,S,1,25,0,0
10036819,3410,20080016,CB,1,10,0,0
10037078,3410,20080142,DB,1,0,0,0
10037276,3410,20120176,CB,1,11,0,0
10037404,3700,20100037,S,1,40,0,0
10037624,4500,20140077,LB,1,12,0,0
10037637,4500,20110426,LB,1,1,0,0
10037677,4500,20130018,S,1,17,0,0
10037705,4500,20110080,CB,1,1,0,0
10037721,4500,20140077,LB,1,0,0,0
10037913,610,20120010,CB,1,13,0,0
10037921,610,20140073,LB,1,0,0,0
10037927,610,20110034,S,1,26,0,0
10038031,610,20110100,S,1,32,0,0
10038076,810,20080194,S,1,45,1,0
10038188,810,20140014,CB,1,12,0,0
10038414,1400,20080020,CB,1,22,1,0
10038546,1540,20130036,CB,1,40,0,0
10038846,3430,20110562,CB,1,25,0,0
10038894,2700,20100163,S,1,-4,0,0
10039007,3200,20130052,LB,1,0,0,0
10039033,3430,20140570,CB,1,1,0,0
10039250,2520,19980004,S,1,2,0,0
10039433,3430,20110054,S,1,9,0,0
10039463,3430,20110054,S,1,1,0,0
10039607,2520,19980004,S,1,30,0,0
10039719,2520,19980004,S,1,0,0,0
10039857,2520,20110773,S,1,7,0,0
10039873,2520,20130012,CB,1,-1,0,0
10039918,2520,20050074,DE,1,7,0,0
10039949,1400,20140031,CB,1,0,0,0
10040001,1400,20100038,S,1,18,0,0
10040062,1540,20070737,S,1,38,0,0
10040267,2120,20100020,CB,1,65,0,0
10040367,2120,20110042,OLB,1,5,0,0
10040654,2700,20060758,CB,1,32,0,0
10040673,2700,20110235,S,1,31,0,0
10040677,2520,20140219,CB,1,28,0,0
10040712,2700,20140125,CB,1,43,0,0
10040887,4400,20140025,CB,1,0,0,0
10040958,4600,20120669,CB,1,54,1,0
10041068,2520,20110773,S,1,0,0,0
10041214,2520,19980004,S,1,3,0,0
10041231,3700,20080229,CB,1,-1,0,0
10041308,3700,20090066,CB,1,34,1,0
10041322,3700,20100037,S,1,3,0,0
10041538,1200,20130080,S,1,0,0,0
10041578,1200,20110040,LB,1,8,0,0
10041644,2250,20070237,CB,1,0,0,0
10041843,2510,20140188,CB,1,0,0,0
10042049,3410,20050008,S,1,7,0,0
10042068,3410,20080142,DB,1,18,0,0
10042158,3430,20110831,CB,1,0,0,0
10042376,3700,20100145,CB,1,0,0,0
10042379,3900,20030016,S,1,4,0,0
10042640,4600,20130138,CB,1,0,0,0
10042711,2100,20100096,CB,1,0,0,0
10042792,2100,20130248,S,1,33,0,0
10042854,3700,20120123,CB,1,0,0,0
10043028,3700,20090014,S,1,6,0,0
10043112,3900,20100052,LB,1,30,0,0
10043361,325,20030010,OLB,1,3,0,0
10043377,325,20100447,S,1,0,0,0
10043414,3900,20140015,LB,1,27,0,0
10043457,610,20130628,DB,1,0,0,0
10043510,3900,20120484,S,1,8,0,0
10043558,610,20140454,S,1,0,0,0
10043728,3900,20090188,CB,1,3,0,0
10043767,3900,20090188,CB,1,31,0,0
10043821,920,20070021,S,1,-4,0,0
10043847,920,20110579,WR,1,6,0,0
10043905,1050,20040033,LB,1,0,0,0
10044122,3900,20020242,DE,1,16,0,0
10044249,3900,20070170,CB,1,33,1,0
10044386,3900,20120561,CB,1,0,0,0
10044604,3300,20130015,S,1,0,0,0
10044630,3300,20110024,DE,1,6,0,0
10044838,3900,20110128,CB,1,27,0,0
10044979,3800,20140845,CB,1,68,0,0
10045047,4400,20140720,S,1,26,0,0
10045345,1400,20080020,CB,1,4,0,0
10045361,1400,20110045,S,1,19,0,0
10045458,4400,20080035,CB,1,8,0,0
10045508,4400,20070037,FS,1,17,0,0
10045676,2310,20100244,S,1,12,0,0
10045687,4400,20080035,CB,1,9,0,0
10045719,2510,20120039,CB,1,99,1,0
10045835,4400,20110050,SS,1,4,0,0
10045924,4400,20130038,ILB,1,0,0,0
10045953,3200,20110039,LB,1,0,0,0
10046051,3430,20100224,CB,1,0,0,0
10046085,4400,20080035,CB,1,27,0,0
10046525,4600,20110173,CB,1,2,0,0
10046648,4600,20110154,CB,1,0,0,0
10046758,4600,20100133,SS,1,90,1,0
10046858,4600,20120172,CB,1,41,0,0
10046925,810,20130649,CB,1,17,0,0
10047096,1200,20100008,LB,1,0,0,0
10047230,1400,20110460,CB,1,13,0,0
10047255,4600,20100133,SS,1,52,0,0
10047373,4600,20110173,CB,1,21,0,0
10047455,4600,20110154,CB,1,0,0,0
10047458,1800,20140021,S,1,26,0,0
10047500,1800,20140021,S,1,22,0,0
10047503,4600,20110173,CB,1,5,0,0
10047515,1800,20100592,CB,1,0,0,0
10047585,1800,20100071,S,1,4,0,0
10047665,2510,20140759,CB,1,18,0,0
10047727,4600,20130087,DT,1,8,0,0
10047740,4600,20120015,LB,1,49,1,0
10047795,4600,20120172,CB,1,14,0,0
10047864,4600,20120047,LB,1,0,0,0
10047925,3200,20140962,CB,1,3,0,0
10047952,3410,20080142,DB,1,7,0,0
10048016,3410,20080117,S,1,0,0,0
10048044,4600,20100014,FS,1,47,0,0
10048126,4600,20120015,LB,1,35,1,0
10048131,4600,20110154,CB,1,22,0,0
10048497,4500,20130018,S,1,73,0,0
10048618,4500,20110426,LB,1,0,0,0
10048671,4500,20110080,CB,1,7,0,0
10048724,4500,20070611,S,1,0,0,0
10048782,810,20110093,S,1,1,0,0
10048855,810,20140014,CB,1,20,0,0
10048865,810,20140014,CB,1,18,0,0
10048987,1400,20090411,CB,1,32,0,0
10049038,1400,20120478,LB,1,0,0,0
10049204,4500,20100137,CB,1,2,0,0
10049250,4500,20060207,S,1,0,0,0
10049262,4500,20100137,CB,1,10,0,0
10049419,3700,20090014,S,1,53,1,0
10049491,4500,20060207,S,1,0,0,0
10049541,4500,20100137,CB,1,0,0,0
10049657,4500,20140030,DB,1,4,0,0
10049705,4500,20130515,CB,1,0,0,0
10049736,4500,20100137,CB,1,0,0,0
10049758,4500,20060207,S,1,49,1,0
10049831,4500,20110080,CB,1,24,0,0
10049924,4600,20110154,CB,1,5,0,0
10050032,4600,20110154,CB,1,1,0,0
10050134,5110,20140722,CB,1,7,0,0
10050350,200,20080113,S,1,0,0,0
10050361,200,20130243,S,1,0,0,0
10050377,325,20110027,CB,1,31,0,0
10050562,750,20080027,CB,1,1,0,0
10050631,750,20060043,S,1,3,0,0
10050691,4900,20130043,CB,1,32,0,0
10050740,4900,20140195,CB,1,0,0,0
10050758,920,20030005,CB,1,3,0,0
10050760,4900,20100104,CB,1,26,0,0
10050989,1800,20130026,DE,1,18,0,0
10051033,2510,20120444,S,1,0,0,0
10051311,3000,20090216,CB,1,0,0,0
10051535,4900,20120589,CB,1,-6,0,0
10051560,4900,20130668,S,1,0,0,0
10051572,4900,20120174,DB,1,3,0,0
10051602,3300,20090096,CB,1,2,0,0
10051672,4900,20140770,CB,1,0,0,0
10051688,4900,20140766,LB,1,15,0,0
10051917,2100,20070019,S,1,0,0,0
10051974,1200,20100571,S,1,4,0,0
10052061,1200,20100008,LB,1,0,0,0
10052230,1800,20130767,LB,1,8,0,0
10052332,2120,20130057,SS,1,25,0,0
10052696,2100,20130070,CB,1,34,0,0
10052862,3000,20110586,CB,1,0,0,0
10053002,2100,20140122,DB,1,23,1,0
10053025,3410,20080016,CB,1,16,0,0
10053053,3410,20080117,S,1,10,0,0
10053241,3900,20070170,CB,1,28,1,0
10053298,2100,20090203,CB,1,0,0,0
10053513,3800,20090095,S,1,30,0,0
10053527,3800,20090092,CB,1,6,0,0
10053543,3800,20090095,S,1,28,1,0
10053570,1050,20100007,DB,1,37,0,0
10053607,1050,20120463,DB,1,43,0,0
10053678,1050,20050666,DB,1,19,1,0
10053824,1200,20110040,LB,1,35,0,0
10053837,5110,20140746,LB,1,9,0,0
10053840,1200,20110040,LB,1,4,0,0
10054020,5110,20120180,S,1,14,0,0
10054064,2510,20120444,S,1,1,0,0
10054187,2510,20130071,S,1,20,0,0
10054456,3410,20110019,CB,1,28,0,0
10054461,5110,20120119,LB,1,0,0,0
10054463,3410,20080117,S,1,3,0,0
10054482,3410,20070221,CB,1,11,0,0
10054496,3410,20050008,S,1,39,0,0
10054665,3700,20100037,S,1,1,0,0
10054689,5110,20140102,CB,1,0,0,0
10054864,4900,20080566,LB,1,0,0,0
10054892,4900,20130043,CB,1,19,1,0
10055080,5110,20140102,CB,1,0,0,0
10055081,2100,20080407,LB,1,13,0,0
10000022,920,20030005,CB,1,54,1,0
10000169,920,20130118,LB,1,3,0,0
10000207,1540,20110510,LB,1,17,0,0
10000235,1540,20100477,CB,1,25,0,0
10000266,3800,20090095,S,1,0,0,0
10000343,3800,20060019,CB,1,5,0,0
10000393,3800,20090594,LB,1,2,0,0
10000569,3800,20130103,LB,1,26,0,0
10000729,2510,20130030,LB,1,44,0,0
10000759,3800,20110005,CB,1,0,0,0
10000766,3800,20110005,CB,1,30,1,0
10000856,3800,20060019,CB,1,40,0,0
10000946,3800,20060019,CB,1,18,0,0
10001068,3800,20090092,CB,1,12,0,0
10001296,4600,20110154,CB,1,53,0,0
10001503,200,20080113,S,1,21,0,0
10001522,3800,20090095,S,1,88,1,0
10001617,200,20070055,CB,1,15,0,0
10001705,750,20060043,S,1,31,1,0
10001761,750,20140128,S,1,84,1,0
10001945,810,20130756,CB,1,0,0,0
10002001,1050,20100007,DB,1,0,0,0
10002035,200,20130243,S,1,14,0,0
10002109,200,20130022,CB,1,0,0,0
10002119,200,20140068,S,1,-5,0,0
10002210,200,20130060,CB,1,0,0,0
10002248,1540,20100477,CB,1,45,0,0
10002577,200,20100249,CB,1,0,0,0
10002676,3900,20070170,CB,1,52,1,0
10002824,200,20130243,S,1,23,1,0
10002937,4900,20080566,LB,1,27,1,0
10003164,200,20130060,CB,1,0,0,0
10003230,200,20130060,CB,1,21,0,0
10003556,920,20120812,LB,1,1,0,0
10003784,325,20090088,CB,1,0,0,0
10003957,325,20100437,S,1,6,0,0
10004110,325,20060012,DT,1,13,0,0
10004127,325,20040039,ILB,1,0,0,0
10004345,325,20120169,CB,1,0,0,0
10004377,4500,20100034,CB,1,-1,0,0
10004439,325,20100135,CB,1,25,0,0
10004589,325,20090667,CB,1,15,0,0
10004675,325,20140017,LB,1,17,0,0
10004797,1050,20050666,DB,1,0,0,0
10004831,610,20110100,S,1,18,0,0
10004841,1050,20100007,DB,1,0,0,0
10004887,610,20110100,S,1,20,0,0
10004986,1540,20110739,S,1,6,0,0
10005055,1540,20140549,CB,1,32,0,0
10005065,1540,20090592,LB,1,0,0,0
10005175,1800,20060724,CB,1,0,0,0
10005215,610,20130191,S,1,16,0,0
10005232,610,20130191,S,1,28,0,0
10005600,610,20080011,CB,1,1,0,0
10005647,610,20080011,CB,1,9,0,0
10005655,610,20080011,CB,1,0,0,0
10005683,3000,20120139,S,1,1,0,0
10005803,3200,20130052,LB,1,0,0,0
10006024,3410,20130152,S,1,0,0,0
10006035,3410,20080142,DB,1,0,0,0
10006207,610,20130105,S,1,34,0,0
10006426,4900,20070126,S,1,-1,0,0
10006436,610,20110100,S,1,19,0,0
10006664,3800,20060019,CB,1,50,0,0
10006734,750,20120009,LB,1,1,0,0
10006754,750,20140128,S,1,11,0,0
10006771,200,20130243,S,1,0,0,0
10006840,200,20130022,CB,1,19,0,0
10007015,610,20110100,S,1,15,0,0
10007047,750,20120143,CB,1,0,0,0
10007101,610,20130143,S,1,9,0,0
10007123,750,20060043,S,1,1,0,0
10007166,810,20030068,LB,1,2,0,0
10007243,750,20080098,S,1,35,0,0
