playerId,nameFull,position,collegeId,college,heightInches,weight,ageAtDraft
20180149,Michael Dickson,P,78712,Texas,75.0,205.0,22
20180120,Will Dissly,TE,98195,Washington,76.0,267.0,21
20180602,Garret Dooley,LB,53706,Wisconsin,75.0,246.0,23
20180134,Chase Edmonds,RB,10458,Fordham (NY),69.0,210.0,22
20180028,Terrell Edmunds,S,24061,Virginia Tech,74.0,220.0,21
20180016,Tremaine Edmunds,LB,24061,Virginia Tech,77.0,250.0,20
20180177,Duke Ejiofor,DE,27106,Wake Forest,76.0,275.0,23
20180190,DeShon Elliott,S,78712,Texas,74.0,210.0,21
20180647,Donnie Ernsberger,TE,49008,Western Michigan,75.0,241.0,21
20180019,Leighton Vander Esch,LB,83725,Boise State,76.0,256.0,21
20180219,Danny Etling,QB,70803,Louisiana State,74.0,215.0,23
20180022,Rashaan Evans,OLB,35487,Alabama,75.0,234.0,21
20180573,Brandon Facyson,DB,24061,Virginia Tech,74.0,197.0,23
20180199,Luke Falk,QB,99164,Washington State,76.0,223.0,23
20180682,Rashard Fant,DB,47405,Indiana,70.0,180.0,23
20180180,Foley Fatukasi,DT,6269,Connecticut,76.0,303.0,23
20180181,Kylie Fitts,DE,84112,Utah,76.0,265.0,23
20180625,Dimitri Flowers,RB,73019,Oklahoma,74.0,248.0,22
20180477,Quinton Flowers,QB,33620,South Florida,70.0,214.0,23
20180146,Tre Flowers,S,74078,Oklahoma State,75.0,200.0,22
20180703,Robert Foster,WR,35487,Alabama,74.0,196.0,23
20180851,Jarvion Franklin,RB,49008,Western Michigan,72.0,239.0,22
20180135,John Franklin-Myers,DL,75962,Stephen F. Austin (TX),76.0,283.0,21
20180246,Josh Frazier,DT,35487,Alabama,76.0,315.0,22
20180071,Royce Freeman,RB,97403,Oregon,72.0,238.0,22
20180156,Troy Fumagalli,TE,53706,Wisconsin,78.0,248.0,23
20180081,Michael Gallup,WR,80523,Colorado State,73.0,200.0,22
20180085,Rashaan Gaulden,S,37998,Tennessee,73.0,193.0,23
20180042,Mike Gesicki,TE,16802,Penn State,78.0,252.0,22
20180049,Dallas Goedert,TE,57007,South Dakota State,76.0,260.0,23
20180213,Colby Gossett,OG,28608,Appalachian State (NC),68.0,311.0,22
20181205,Davon Grayson,WR,27858,East Carolina (NC),73.0,187.0,22
20180079,Rasheem Green,DE,90089,USC,76.0,275.0,20
20180141,Shaquem Griffin,LB,32816,Central Florida,73.0,225.0,22
20180059,Derrius Guice,RB,70803,Louisiana State,71.0,218.0,20
20180821,Grant Haley,DB,16802,Penn State,69.0,185.0,22
20180113,DaeSean Hamilton,WR,16802,Penn State,73.0,203.0,23
20180197,Shaun Dion Hamilton,LB,35487,Alabama,72.0,235.0,22
20180114,Da’Shawn Hand,DL,35487,Alabama,76.0,288.0,22
20180151,Davontae Harris,DB,61790,Illinois State,72.0,200.0,23
20180184,Marcell Harris,S,32611,Florida,73.0,211.0,23
20180093,Ronnie Harrison,S,35487,Alabama,75.0,214.0,21
20180136,Marquis Haynes,OLB,38677,Mississippi,75.0,222.0,24
20180467,Taylor Hearn,OG,29631,Clemson,76.0,315.0,22
20180497,James Hearns,OLB,40292,Louisville,74.0,244.0,24
20180861,Quadree Henderson,WR,15260,Pittsburgh,68.0,192.0,21
20180479,Trayvon Henderson,DB,96813,Hawaii,72.0,208.0,22
